title,id
ssrs,401
rabbitmq,402
1с: бухгалтерия,403
unit-экономика,404
reactjs,405
databases,406
дизайнер,407
gamedev,408
facebook ads,409
таргетированная реклама,410
full-stack,411
ruby on rails,412
ui kit,413
проведение презентаций,414
ssh,415
маркетинговый анализ,416
openshift,417
microservices,418
custdev,419
vuex,420
puppet,421
android,422
гост,423
оптимизация бизнес-процессов,424
ооп,425
jquery,426
sass,427
js,428
figma,429
написание текстов,430
catboost,431
cистемы управления базами данных,432
powerbi,433
jenkins,434
windows,435
soapui,436
рефакторинг кода,437
яндекс.директ,438
kvm,439
presto,440
баннерная реклам,441
преподаватель,442
проектирование пользовательских интерфейсов,443
dbt,444
cinema 4d,445
работа с базами данных,446
xsd,447
бизнес-моделирование,448
b2c маркетинг,449
redi,450
spring boot,451
linux,452
data engineer,453
elk,454
документооборот,455
математический анализ,456
ui/ux,457
обучение,458
power bi,459
анализ бизнес-процессов,460
vmware,461
расстановка приоритетов,462
обработка изображений,463
jmeter,464
qa,465
автоматизация процессов,466
angula,467
scipy,468
техническая документация,469
orm,470
дизайн,471
tcp/ip,472
mathematical statistics,473
nifi,474
мобильные приложения,475
angularjs,476
html,477
xgboost,478
лидерство,479
invision,480
аналитические исследования,481
memcached,482
k8s,483
реклама,484
планирование маркетинговых кампаний,485
symfony,486
разработка компьютерных игр,487
создание лендингов,488
1с программирование,489
nlp,490
vba,491
анализ финансовых показателей,492
анализ трафика,493
1с: предприятие 8,494
кроссбраузерная верстка,495
analytical skill,496
crm,497
next.js,498
typescript,499
внутренний контроль,500
shell scripting,501
.net framework,502
unix,503
деловая коммуникация,504
php7,505
холодные продажи,506
it,507
reac,508
1с: управление производственным предприятием,509
мониторинг рынка,510
unit testing,511
apache,512
брендинг,513
моделирование бизнес процессов,514
jest,515
графические редакторы,516
графический дизайн,517
bootstrap,518
hdfs,519
react.js,520
mytarget,521
анализ рисков,522
чувство вкуса,523
atlassian confluence,524
ruby,525
canvas,526
selenium ide,527
frontend,528
pandas,529
организаторские навыки,530
adobe,531
пользователь пк,532
гибкость,533
работа с системами аналитики,534
аналитика,535
business analysi,536
удаленная работа,537
elasticsearch,538
spring framework,539
webflow,540
redmine,541
digital marketing,542
system analysis,543
контроль исполнения решений,544
java,545
оптимизация кода,546
oracle,547
копирайтинг,548
администрирование серверов windows,549
управленческие навыки,550
mathematical analysis,551
развитие бренда,552
tensorflow,553
обучение и развитие,554
ms visio,555
умение работать в режиме многозадачности,556
рисунок,557
nestjs,558
маркетинговые коммуникации,559
scss,560
product development,561
анализ конкурентной среды,562
django framework,563
запуск новых продуктов,564
многозадачность,565
mobx,566
ssr,567
vertica,568
управление командой,569
canva,570
superset,571
поиск информации в интернет,572
аналитическое мышление,573
power query,574
airflow,575
навыки продаж,576
wordpress,577
b2b продажи,578
стратегический маркетинг,579
deep learning,580
solid,581
организация учебного процесс,582
бизнес-анализ,583
разработка инструкций,584
умение принимать решения,585
b2b маркетинг,586
agile,587
грамотная речь,588
cjm,589
планирование рекламных кампаний,590
scikit-learn,591
powershell,592
apache tomcat,593
лендинг,594
graphic design,595
haproxy,596
apache airflow,597
создание презентационных материалов о компании,598
клиентоориентированность,599
конкурентная аналитика,600
seo,601
продвижение сайтов,602
photoshop,603
confluence,604
html/css,605
разработка проектной документаци,606
видеомонтаж,607
.net core,608
zeplin,609
aws,610
scrum,611
product management,612
прогнозирование,613
ценообразование,614
yandex direct,615
дизайн интерфейсов,616
adobe lightroom,617
bas,618
с#,619
полиграфический дизайн,620
dl,621
производственный контроль,622
мобильность,623
mysql,624
web design,625
воронка продаж,626
apache kafka,627
анализ требований,628
autocad,629
vue,630
деловая переписка,631
статистический анализ,632
ms access,633
навыки презентации,634
алгоритмы,635
сбор и анализ информации,636
продвижение в социальных группах,637
автоматизация,638
rest api,639
портфельные риски,640
elt,641
gitlab,642
opencv,643
idef0,644
нагрузочное тестирование,645
ux,646
email маркетинг,647
разработка нового продукта,648
нейронные сети,649
devtools,650
анимация,651
notion,652
flask,653
типографика,654
excel,655
php,656
умение работать в команде,657
highload,658
ubuntu server,659
json api,660
ответственность,661
стратегическое мышление,662
реинжиниринг бизнес-процессов,663
agile project management,664
лидогенерация,665
transact-sql,666
тестирование,667
ведение отчетности,668
графика,669
scala,670
cv,671
оценка потребностей клиентов,672
pmbok,673
machine learning,674
kubernetes,675
активные продажи,676
креативность,677
